file,s1,s2,b1,b2,percDif
Lewis/lewis7462.gcg,511,300,5,0,52.034525277435264
Lewis/lewis8751.gcg,319,423,0,2,28.03234501347709
Lewis/1717.gcg,441,383,3,2,14.077669902912621
Lewis/283.gcg,403,468,2,2,14.925373134328357
Lewis/srs323.gcg,408,449,2,3,9.56826137689615
Lewis/lewis8989.gcg,425,407,3,3,4.326923076923077
Lewis/lewis3604.gcg,451,358,2,2,22.991347342398022
Lewis/srs57.gcg,490,338,3,1,36.71497584541063
Lewis/lewis3162.gcg,386,311,2,1,21.52080344332855
Lewis/lewis9329.gcg,422,427,3,2,1.1778563015312131
Lewis/r122.gcg,523,347,3,1,40.45977011494253
Lewis/lewis7304.gcg,329,412,1,1,22.402159244264507
Lewis/lewis8037.gcg,374,353,2,1,5.777166437414031
Lewis/1071.gcg,452,422,2,2,6.864988558352403
Lewis/r136.gcg,386,404,2,2,4.556962025316456
Lewis/lewis7310.gcg,384,400,2,3,4.081632653061225
Lewis/1065.gcg,309,342,1,2,10.138248847926267
Lewis/lewis8023.gcg,512,347,3,1,38.41676367869616
Lewis/srs43.gcg,376,397,1,2,5.433376455368694
Lewis/lewis3176.gcg,501,294,3,0,52.075471698113205
Lewis/r78.gcg,301,429,0,3,35.06849315068493
Lewis/lewis3610.gcg,416,305,2,1,30.79056865464632
Lewis/lewis7476.gcg,336,396,1,2,16.39344262295082
Lewis/297.gcg,455,347,3,2,26.932668329177055
Lewis/1703.gcg,453,382,3,2,17.005988023952096
Lewis/lewis8745.gcg,329,497,1,3,40.67796610169492
Lewis/srs337.gcg,334,411,1,2,20.671140939597315
Lewis/lewis6768.gcg,419,398,2,2,5.140758873929008
Lewis/r50.gcg,402,363,2,2,10.196078431372548
Lewis/lewis3638.gcg,380,440,1,3,14.634146341463413
Lewis/lewis4157.gcg,518,293,4,0,55.487053020961774
Lewis/busd67.gcg,490,273,3,0,56.88073394495413
Lewis/2222.gcg,477,470,3,4,1.478352692713833
Lewis/lewis6998.gcg,435,403,3,3,7.637231503579953
Lewis/busd1043.gcg,381,378,2,2,0.7905138339920948
Lewis/lewis9473.gcg,428,344,2,1,21.761658031088082
Lewis/lewis6740.gcg,509,389,3,1,26.7260579064588
Lewis/lewis9315.gcg,429,439,2,3,2.3041474654377883
Lewis/lewis7338.gcg,489,344,4,2,34.81392557022809
Lewis/lewis9301.gcg,405,427,1,3,5.288461538461538
Lewis/1059.gcg,498,365,2,2,30.82271147161066
