file,s1,s2,b1,b2,percDif
one/one6812.gcg,260,261,2,2,0.3838771593090211
one/one987.gcg,262,270,2,2,3.007518796992481
one/one4963.gcg,304,335,3,3,9.702660406885759
one/one4977.gcg,286,194,2,1,38.333333333333336
one/one993.gcg,275,261,2,2,5.223880597014925
one/one6806.gcg,256,328,2,3,24.65753424657534
one/one1199.gcg,385,195,3,1,65.51724137931035
one/one2490.gcg,256,349,2,3,30.74380165289256
one/one3956.gcg,262,239,2,1,9.181636726546905
one/one4787.gcg,320,304,3,3,5.128205128205128
one/one5499.gcg,368,309,3,3,17.429837518463813
one/one763.gcg,441,419,3,2,5.116279069767442
one/one6190.gcg,258,437,2,4,51.510791366906474
one/one1827.gcg,206,246,1,2,17.699115044247787
one/one777.gcg,502,280,3,0,56.77749360613811
one/one6184.gcg,274,275,2,2,0.36429872495446264
one/one1833.gcg,283,197,2,1,35.833333333333336
one/one4793.gcg,316,275,3,2,13.874788494077833
one/one2484.gcg,320,272,3,2,16.216216216216218
one/one3942.gcg,341,234,2,2,37.21739130434783
one/one6609.gcg,311,225,3,1,32.08955223880597
one/one1166.gcg,334,221,3,1,40.72072072072072
one/one3771.gcg,275,285,2,3,3.571428571428571
one/one5300.gcg,259,259,2,1,0.0
one/one5466.gcg,245,245,1,2,0.0
one/one2309.gcg,361,176,4,0,68.90130353817506
one/one3017.gcg,272,284,2,3,4.316546762589928
one/one4778.gcg,232,296,1,2,24.242424242424242
one/one944.gcg,233,319,1,3,31.15942028985507
one/one1600.gcg,247,308,2,3,21.98198198198198
one/one950.gcg,326,217,3,1,40.147329650092075
one/one1614.gcg,196,181,1,0,7.957559681697612
one/one788.gcg,321,486,1,3,40.89219330855018
one/one5472.gcg,332,303,3,3,9.133858267716535
one/one3003.gcg,257,250,2,2,2.7613412228796843
one/one3765.gcg,338,214,3,1,44.927536231884055
one/one5314.gcg,190,292,0,3,42.32365145228216
one/one1172.gcg,248,296,2,3,17.647058823529413
one/one4022.gcg,375,212,4,1,55.5366269165247
one/one2453.gcg,288,266,3,2,7.9422382671480145
one/one3995.gcg,397,168,4,0,81.06194690265487
one/one6635.gcg,250,290,2,2,14.814814814814813
one/one978.gcg,316,310,2,3,1.9169329073482428
one/one6153.gcg,323,206,3,1,44.234404536862
one/one2335.gcg,280,282,2,3,0.7117437722419928
one/one4744.gcg,323,186,2,1,53.83104125736738
one/one4988.gcg,256,313,2,3,20.035149384885763
one/one2321.gcg,357,275,3,2,25.949367088607595
one/one4750.gcg,245,340,2,3,32.47863247863248
one/one1628.gcg,318,300,3,3,5.825242718446602
one/one6147.gcg,261,307,1,3,16.19718309859155
one/one6621.gcg,360,268,4,2,29.29936305732484
one/one4036.gcg,345,177,3,1,64.36781609195403
one/one3759.gcg,272,262,2,2,3.7453183520599254
one/one2447.gcg,247,296,2,2,18.047882136279927
one/one5328.gcg,239,215,1,1,10.572687224669604
one/one3981.gcg,246,271,2,2,9.671179883945841
one/one2876.gcg,349,319,4,3,8.982035928143713
one/one2862.gcg,158,386,0,3,83.82352941176471
one/one549.gcg,209,350,1,4,50.44722719141323
one/one6392.gcg,183,421,1,4,78.80794701986756
one/one561.gcg,197,387,1,4,65.06849315068493
one/one4585.gcg,171,423,0,5,84.84848484848484
one/one5843.gcg,339,214,3,1,45.20795660036166
one/one2692.gcg,338,209,3,1,47.16636197440585
one/one207.gcg,264,283,2,3,6.946983546617916
one/one213.gcg,302,239,3,1,23.290203327171906
one/one3598.gcg,351,288,3,2,19.718309859154928
one/one2686.gcg,334,245,2,2,30.7426597582038
one/one4591.gcg,293,274,2,3,6.701940035273369
one/one5857.gcg,394,182,4,1,73.61111111111111
one/one6386.gcg,288,287,2,3,0.34782608695652173
one/one575.gcg,221,308,1,3,32.89224952741021
one/one1402.gcg,229,210,1,1,8.656036446469248
one/one3215.gcg,235,410,2,4,54.263565891472865
one/one5664.gcg,294,268,2,2,9.252669039145907
one/one5102.gcg,445,249,5,2,56.48414985590778
one/one3573.gcg,288,250,2,2,14.12639405204461
one/one1364.gcg,275,225,2,1,20.0
one/one1370.gcg,298,219,3,1,30.56092843326886
one/one5116.gcg,268,338,2,3,23.1023102310231
one/one2679.gcg,256,215,2,1,17.40976645435244
one/one3567.gcg,247,370,2,3,39.87034035656402
one/one4208.gcg,255,239,2,2,6.477732793522267
one/one3201.gcg,185,423,1,4,78.28947368421053
one/one5670.gcg,203,291,1,2,35.62753036437247
one/one6379.gcg,457,197,5,1,79.51070336391437
one/one1416.gcg,367,195,4,1,61.20996441281139
one/one4546.gcg,461,222,5,2,69.98535871156662
one/one3229.gcg,288,347,2,4,18.58267716535433
one/one5880.gcg,250,335,2,3,29.059829059829063
one/one2137.gcg,316,276,4,2,13.513513513513514
one/one5658.gcg,197,371,1,4,61.267605633802816
one/one6351.gcg,248,354,2,3,35.21594684385382
one/one1358.gcg,361,208,4,1,53.77855887521969
one/one6437.gcg,317,258,2,2,20.52173913043478
one/one2651.gcg,239,401,2,5,50.625
one/one2889.gcg,325,306,3,3,6.022187004754358
one/one4220.gcg,270,207,2,1,26.41509433962264
one/one2645.gcg,365,209,4,1,54.35540069686411
one/one4234.gcg,240,338,2,3,33.910034602076124
one/one6423.gcg,206,320,1,3,43.346007604562736
one/one6345.gcg,249,370,2,4,39.09531502423263
one/one4552.gcg,276,254,2,2,8.30188679245283
one/one5894.gcg,367,252,4,2,37.156704361873985
one/one2123.gcg,263,261,2,2,0.7633587786259541
one/one429.gcg,267,317,2,2,17.123287671232877
one/one2902.gcg,352,219,3,1,46.58493870402802
one/one2916.gcg,207,302,1,2,37.32809430255403
one/one415.gcg,230,261,1,2,12.627291242362526
one/one1589.gcg,369,164,4,0,76.92307692307693
one/one5937.gcg,289,345,3,3,17.665615141955836
one/one2080.gcg,210,416,1,5,65.814696485623
one/one5089.gcg,205,182,1,0,11.886304909560723
one/one4397.gcg,343,229,3,2,39.86013986013986
one/one6580.gcg,432,151,5,0,96.39794168096056
one/one373.gcg,246,303,2,3,20.76502732240437
one/one6594.gcg,196,441,1,5,76.92307692307693
one/one367.gcg,259,265,2,2,2.2900763358778624
one/one4383.gcg,311,208,3,1,39.691714836223504
one/one5923.gcg,223,303,1,3,30.418250950570343
one/one2094.gcg,304,368,3,4,19.047619047619047
one/one401.gcg,300,269,3,2,10.896309314586995
one/one1576.gcg,268,250,1,2,6.94980694980695
one/one6219.gcg,281,383,2,4,30.72289156626506
one/one5710.gcg,304,334,3,3,9.404388714733543
one/one3361.gcg,252,386,2,4,42.00626959247649
one/one4368.gcg,277,207,2,1,28.92561983471074
one/one3407.gcg,299,279,3,2,6.920415224913495
one/one2719.gcg,279,227,2,1,20.55335968379447
one/one5076.gcg,247,227,2,1,8.438818565400844
one/one1210.gcg,278,276,2,2,0.7220216606498195
one/one398.gcg,282,319,2,2,12.312811980033278
one/one1204.gcg,366,233,4,1,44.40734557595994
one/one3413.gcg,355,241,3,1,38.25503355704698
one/one5062.gcg,279,188,2,0,38.97216274089936
one/one5704.gcg,171,346,0,3,67.69825918762089
one/one3375.gcg,374,205,4,1,58.37651122625216
one/one1562.gcg,386,249,4,2,43.1496062992126
one/one2043.gcg,283,237,3,1,17.692307692307693
one/one4432.gcg,171,400,0,5,80.21015761821366
