filename,score_1,score_2,bingo_1,bingo_2,percent_dif
fifty9.gcg,9800,9350,0,1,4.699738903394255
fifty100.gcg,10250,8150,0,0,22.82608695652174
fifty53.gcg,8950,7400,1,0,18.960244648318042
fifty114.gcg,9350,8600,2,0,8.356545961002785
fifty47.gcg,9250,8500,0,0,8.450704225352112
fifty128.gcg,8850,8100,2,1,8.849557522123893
fifty90.gcg,10700,7650,0,0,33.2425068119891
fifty84.gcg,10450,8750,1,0,17.708333333333336
fifty276.gcg,9750,9250,1,1,5.263157894736842
fifty262.gcg,7950,9000,0,0,12.389380530973451
fifty289.gcg,8750,9550,0,1,8.743169398907105
fifty288.gcg,7150,10950,0,0,41.988950276243095
fifty263.gcg,11000,8650,1,0,23.918575063613233
fifty277.gcg,7700,11050,0,0,35.733333333333334
fifty85.gcg,8600,10600,1,2,20.833333333333336
fifty91.gcg,8300,9950,0,0,18.08219178082192
fifty129.gcg,9550,8200,0,0,15.211267605633802
fifty46.gcg,8950,9700,2,0,8.04289544235925
fifty115.gcg,9000,8550,0,0,5.128205128205128
fifty52.gcg,8750,9650,0,0,9.782608695652174
fifty101.gcg,9550,7600,0,0,22.740524781341108
fifty8.gcg,9050,8800,0,0,2.801120448179272
fifty117.gcg,9250,8300,0,0,10.826210826210826
fifty44.gcg,9300,7800,2,0,17.543859649122805
fifty103.gcg,8350,9000,0,1,7.492795389048991
fifty50.gcg,8800,8950,2,0,1.6901408450704223
fifty78.gcg,8250,8900,0,0,7.580174927113703
fifty87.gcg,8650,8850,0,0,2.2857142857142856
fifty93.gcg,10150,8100,1,0,22.465753424657535
fifty261.gcg,7750,10500,0,1,30.136986301369863
fifty275.gcg,9100,9750,0,1,6.896551724137931
fifty249.gcg,8700,9750,0,2,11.38211382113821
fifty248.gcg,7950,8950,0,0,11.834319526627219
fifty274.gcg,7650,11450,0,2,39.79057591623037
fifty260.gcg,9200,8400,0,0,9.090909090909092
fifty92.gcg,8100,9700,0,2,17.97752808988764
fifty86.gcg,9200,9500,0,0,3.2085561497326207
