file,s1,s2,b1,b2,percDif
random599.gcg,667,635,1,2,4.915514592933948
random214.gcg,539,691,1,2,24.715447154471544
random1030.gcg,676,554,0,1,19.83739837398374
random572.gcg,601,651,0,1,7.987220447284344
random566.gcg,599,565,1,1,5.841924398625429
random1024.gcg,699,630,2,0,10.383747178329571
random200.gcg,625,659,1,2,5.29595015576324
random228.gcg,752,546,2,1,31.741140215716484
random1018.gcg,661,557,2,1,17.077175697865353
random957.gcg,783,522,2,1,40.0
random943.gcg,602,561,1,1,7.05073086844368
random770.gcg,535,723,0,2,29.88871224165342
random1232.gcg,594,681,1,2,13.647058823529413
random1226.gcg,769,565,3,1,30.584707646176913
random764.gcg,612,517,0,0,16.82905225863596
random994.gcg,699,541,1,1,25.483870967741932
random980.gcg,715,711,3,1,0.5610098176718092
random758.gcg,460,725,0,3,44.72573839662447
random1385.gcg,719,620,1,1,14.787154592979837
random1391.gcg,547,702,1,1,24.819855884707767
random823.gcg,757,592,3,0,24.46256486286138
random189.gcg,670,687,2,2,2.5055268975681653
random837.gcg,657,545,1,0,18.63560732113145
random604.gcg,708,502,1,0,34.049586776859506
random1420.gcg,671,579,2,1,14.719999999999999
random1346.gcg,448,798,0,3,56.17977528089888
random162.gcg,484,629,0,1,26.05570530098832
random176.gcg,629,659,1,2,4.658385093167702
random1352.gcg,794,553,4,1,35.783221974758725
random1434.gcg,698,569,2,1,20.36306235201263
random610.gcg,471,678,1,2,36.0313315926893
random638.gcg,740,578,1,2,24.582701062215477
random1408.gcg,702,648,1,1,8.0
random1187.gcg,686,609,1,1,11.891891891891893
random46.gcg,676,667,1,2,1.340282948622487
random52.gcg,599,638,1,0,6.305578011317705
random1193.gcg,654,644,1,2,1.5408320493066257
random360.gcg,682,486,1,0,33.56164383561644
random85.gcg,717,520,3,0,31.851253031527886
random1144.gcg,514,645,0,2,22.605694564279553
random406.gcg,627,685,1,1,8.841463414634147
random412.gcg,565,605,1,0,6.837606837606838
random1150.gcg,682,606,2,3,11.801242236024844
random374.gcg,660,565,0,0,15.510204081632653
random91.gcg,543,764,1,2,33.817903596021424
random1178.gcg,631,570,1,0,10.15820149875104
random348.gcg,629,733,2,2,15.27165932452276
random349.gcg,616,866,2,4,33.738191632928476
random1179.gcg,669,516,2,1,25.82278481012658
random413.gcg,632,697,1,2,9.781790820165538
random90.gcg,718,503,3,0,35.21703521703522
random375.gcg,636,648,1,1,1.8691588785046727
random1151.gcg,697,738,0,2,5.714285714285714
random1145.gcg,694,596,2,0,15.193798449612403
random84.gcg,836,507,3,0,48.99478778853313
random361.gcg,606,631,1,1,4.042037186742118
random407.gcg,685,668,2,2,2.5129342202512936
random1192.gcg,550,648,1,0,16.36060100166945
random53.gcg,569,665,0,1,15.559157212317668
random47.gcg,698,600,1,0,15.10015408320493
random1186.gcg,794,451,3,0,55.1004016064257
random1409.gcg,760,555,2,1,31.1787072243346
random639.gcg,802,568,4,1,34.160583941605836
random1353.gcg,702,661,3,1,6.016140865737344
random177.gcg,657,637,1,0,3.091190108191654
random611.gcg,704,718,2,3,1.969057665260197
random1435.gcg,561,723,1,2,25.233644859813083
random1421.gcg,554,592,1,0,6.631762652705062
random605.gcg,594,667,0,2,11.578112609040444
random163.gcg,680,617,1,1,9.714726291441789
random1347.gcg,681,645,2,2,5.429864253393665
random188.gcg,762,621,2,0,20.390455531453362
random836.gcg,631,622,1,1,1.4365522745411012
random822.gcg,791,528,2,1,39.8786959818044
random1390.gcg,648,595,0,2,8.527755430410297
random1384.gcg,660,696,1,1,5.3097345132743365
