test,data/lewis,data/fifty,data/traditional,data/one,data/random
avg1st,412.234 ± 1.2,9168.729 ± 107.0,442.28 ± 1.3,289.54 ± 1.5,643.685 ± 4.1
avg2nd,396.789 ± 1.1,8839.967 ± 101.8,425.526 ± 1.3,278.723 ± 1.5,628.893 ± 4.1
percDif,19.203 ± 0.3%,14.637 ± 1.3%,18.243 ± 0.3%,29.9 ± 0.5%,17.889 ± 0.7%
percDifBingoEqual,11.118 ± 0.4%,12.995 ± 1.6%,11.324 ± 0.4%,10.609 ± 0.4%,12.92 ± 1.0%
percDifBingoUnequal,21.628 ± 0.3%,16.312 ± 1.9%,20.514 ± 0.4%,35.436 ± 0.6%,19.545 ± 0.8%
avgBingoDif,1.3 ± 0.0,0.605 ± 0.1,1.268 ± 0.0,1.395 ± 0.0,1.222 ± 0.0
percWinner1st,56.21202597946784,55.51839464882943,56.978992138162134,54.45642917967641,53.82603008502289
percWinner1stBingoEqual,57.87562414888788,48.34437086092716,57.61209593326382,52.13239974538511,53.92670157068062
percWinner1stBingoUnequal,55.712923873076406,41.21621621621622,56.771100838897446,55.141552511415526,53.96687009590235
percBingoEqual,23.07772889168238,50.50167224080268,24.719680371181855,22.296338347998866,24.9836494440811
